20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
18,6,4,4,64,2,32,512,20190,6819,4566,4820,14983,5101,3420,3671,788611.75,ok
18,7,4,3,8,4,2,512,10388,4063,2352,2056,6584,2820,1670,1537,52384.72265625,ok
18,7,4,3,8,2,4,512,9102,3569,2074,2018,7107,2944,1731,1588,97366.8359375,ok
18,7,4,3,16,8,2,512,28826,11371,6636,5372,10760,4421,2602,2260,58190.55859375,ok
18,7,4,3,16,4,4,512,13268,5143,2952,2536,8199,3159,1958,1756,102766.3046875,ok
18,7,4,3,16,2,8,512,10686,4189,2430,2120,8532,3311,2009,1800,195113.234375,ok
18,7,4,3,32,16,2,512,39082,19655,9694,9502,15187,7335,3925,3628,74395.2109375,ok
18,7,4,3,32,8,4,512,39700,19587,9038,8896,15278,7422,3531,3558,115567.7421875,ok
18,7,4,3,32,4,8,512,19028,7443,4292,3516,11107,4429,2575,2226,202727.125,ok
18,7,4,3,32,2,16,512,13854,5429,3142,2658,10785,4278,2490,2165,389772.65625,ok
18,7,4,3,64,32,2,512,39934,19855,9640,9674,18740,9002,4695,4457,110297.703125,ok
18,7,4,3,64,16,4,512,39592,19591,9188,9110,19973,9359,4700,4400,147417.15625,ok
18,7,4,3,64,8,8,512,38792,18041,8662,9518,19408,8554,4476,4567,229318.109375,ok
18,7,4,3,64,4,16,512,30548,11943,6872,5458,16340,6467,3733,3100,398737.71875,ok
18,7,4,3,64,2,32,512,20190,7909,4566,3730,14969,5897,3417,2865,771524.6875,ok
18,8,3,3,8,4,2,512,10388,4609,1806,2056,6568,3140,1286,1525,50893.8828125,ok
18,8,3,3,8,2,4,512,9102,4043,1600,2018,7076,3308,1336,1584,96065.5625,ok
18,8,3,3,16,8,2,512,28826,12945,5122,5372,10707,5016,2024,2263,56381.6796875,ok
18,8,3,3,16,4,4,512,13268,5849,2286,2536,8230,3783,1521,1764,100193.71875,ok
18,8,3,3,16,2,8,512,10686,4751,1868,2120,8484,3871,1544,1793,189533.0,ok
18,8,3,3,32,16,2,512,39082,19025,9702,9502,15099,7510,3346,3613,72661.2265625,ok
18,8,3,3,32,8,4,512,39700,17799,8586,8896,15130,6773,3256,3526,112519.2109375,ok
18,8,3,3,32,4,8,512,19028,8469,3266,3516,11065,5019,1979,2225,197578.078125,ok
18,8,3,3,32,2,16,512,13854,6167,2404,2658,10764,4845,1912,2163,378990.6875,ok
18,8,3,3,64,32,2,512,40160,19933,9442,9668,18724,9335,4267,4415,107294.5703125,ok
18,8,3,3,64,16,4,512,39912,19735,9636,9296,19968,9799,4436,4388,143708.296875,ok
18,8,3,3,64,8,8,512,38144,18745,9266,9518,19253,9105,4237,4533,223872.796875,ok
18,8,3,3,64,4,16,512,30548,13609,5206,5458,16369,7344,2850,3105,394515.28125,ok
18,8,3,3,64,2,32,512,20190,8999,3476,3730,14916,6679,2604,2856,749853.9375,ok
18,8,4,2,8,4,2,512,10388,4609,2352,1632,6562,3138,1654,1151,50923.7578125,ok
18,8,4,2,8,2,4,512,9102,4043,2074,1632,7105,3317,1731,1197,95712.015625,ok
18,8,4,2,16,8,2,512,28826,12945,6636,3798,10753,5034,2620,1671,56701.40625,ok
18,8,4,2,16,4,4,512,13268,5849,2952,1830,8231,3793,1963,1314,100236.6484375,ok
18,8,4,2,16,2,8,512,10686,4751,2430,1632,8484,3870,1999,1333,190799.265625,ok
18,8,4,2,32,16,2,512,39082,19025,9694,9260,14899,7474,3866,2985,72460.1328125,ok
18,8,4,2,32,8,4,512,39700,17799,9038,6134,15276,6771,3532,2511,112707.78125,ok
18,8,4,2,32,4,8,512,19028,8469,4292,2490,11081,5026,2581,1626,198485.21875,ok
18,8,4,2,32,2,16,512,13854,6167,3142,1920,10761,4843,2486,1586,375545.28125,ok
18,8,4,2,64,32,2,512,40086,19933,9670,9622,18893,9333,4672,4010,107486.421875,ok
18,8,4,2,64,16,4,512,39592,19715,9616,9170,20035,9788,4689,3904,144041.640625,ok
18,8,4,2,64,8,8,512,39722,19799,9728,9720,19295,9104,4471,3803,224650.796875,ok
18,8,4,2,64,4,16,512,30548,13609,6872,3792,16397,7360,3747,2226,398183.71875,ok
18,8,4,2,64,2,32,512,20190,8999,4566,2640,14951,6694,3413,2059,756641.5,ok
