batch_size,microbatch_size,num_microbatches,pulp_split,mem_limits,data_split,predicted_ms,measured_ms,error_pct
32,8,4,25/6/1,25/12/12,14/8/10,44242.5,110716.8,-60.0
32,4,8,25/6/1,25/12/12,14/8/10,88484.9,196328.3,-54.9
32,16,2,25/6/1,25/12/12,14/9/9,22121.2,70815.7,-68.8
32,8,4,25/6/1,25/12/12,14/9/9,44242.5,110881.6,-60.1
32,4,8,25/6/1,25/12/12,14/9/9,88484.9,196157.0,-54.9
64,32,2,17/8/7,17/8/8,14/9/9,24613.8,107370.9,-77.1
64,16,4,17/8/7,17/8/8,14/9/9,49227.5,141776.7,-65.3
64,8,8,17/8/7,17/8/8,14/9/9,98455.1,219613.1,-55.2
32,16,2,25/6/1,25/12/12,14/10/8,22121.2,70667.1,-68.7
32,8,4,25/6/1,25/12/12,14/10/8,44242.5,110882.1,-60.1
32,4,8,25/6/1,25/12/12,14/10/8,88484.9,196443.1,-55.0
32,16,2,25/6/1,25/12/12,14/11/7,22121.2,70807.3,-68.8
32,8,4,25/6/1,25/12/12,14/11/7,44242.5,110982.8,-60.1
32,4,8,25/6/1,25/12/12,14/11/7,88484.9,195769.7,-54.8
32,16,2,25/6/1,25/12/12,14/12/6,22121.2,70710.3,-68.7
32,8,4,25/6/1,25/12/12,14/12/6,44242.5,111109.5,-60.2
32,4,8,25/6/1,25/12/12,14/12/6,88484.9,196261.3,-54.9
32,16,2,25/6/1,25/12/12,15/5/12,22121.2,69691.4,-68.3
32,8,4,25/6/1,25/12/12,15/5/12,44242.5,109462.1,-59.6
32,4,8,25/6/1,25/12/12,15/5/12,88484.9,194040.7,-54.4
32,16,2,25/6/1,25/12/12,15/6/11,22121.2,69582.7,-68.2
32,8,4,25/6/1,25/12/12,15/6/11,44242.5,109644.8,-59.6
32,4,8,25/6/1,25/12/12,15/6/11,88484.9,194395.2,-54.5
32,16,2,25/6/1,25/12/12,15/7/10,22121.2,69903.6,-68.4
32,8,4,25/6/1,25/12/12,15/7/10,44242.5,109537.0,-59.6
32,4,8,25/6/1,25/12/12,15/7/10,88484.9,193766.0,-54.3
32,16,2,25/6/1,25/12/12,15/8/9,22121.2,69772.4,-68.3
32,8,4,25/6/1,25/12/12,15/8/9,44242.5,109422.2,-59.6
32,4,8,25/6/1,25/12/12,15/8/9,88484.9,194072.9,-54.4
64,32,2,17/8/7,17/8/8,15/8/9,24613.8,105597.4,-76.7
64,16,4,17/8/7,17/8/8,15/8/9,49227.5,139714.6,-64.8
64,8,8,17/8/7,17/8/8,15/8/9,98455.1,217346.5,-54.7
32,16,2,25/6/1,25/12/12,15/9/8,22121.2,69728.8,-68.3
32,8,4,25/6/1,25/12/12,15/9/8,44242.5,109354.3,-59.5
32,4,8,25/6/1,25/12/12,15/9/8,88484.9,193446.1,-54.3
64,32,2,17/8/7,17/8/8,15/9/8,24613.8,105520.1,-76.7
