20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_gi5gb_mb,avg_gi5gb_mb,total_latency_ms,status
11,10,5,6,64,8,8,512,4520,3149,,OOM_rank3
11,10,5,6,64,4,16,512,2120,1536,,timeout
11,10,5,6,64,2,32,512,2104,1513,,timeout
11,10,6,5,32,16,2,512,4854,3471,99028.3828125,ok
11,10,6,5,32,8,4,512,4854,3505,154588.921875,ok
11,10,6,5,32,4,8,512,4764,3612,272081.40625,ok
11,10,6,5,32,2,16,512,2458,1758,,timeout
11,10,6,5,64,32,2,512,4854,3505,,OOM_rank2
11,10,6,5,64,16,4,512,4860,3677,,OOM_rank2
11,10,6,5,64,8,8,512,4856,3829,,OOM_rank2
11,10,6,5,64,4,16,512,2506,1762,,timeout
11,10,6,5,64,2,32,512,2490,1790,,timeout
11,11,4,6,32,16,2,512,4832,2907,97029.21875,ok
11,11,4,6,32,8,4,512,4630,2919,151548.578125,ok
11,11,4,6,32,4,8,512,4292,2676,263970.09375,ok
11,11,4,6,32,2,16,512,1686,1242,,timeout
11,11,4,6,64,32,2,512,4788,2692,,OOM_rank3
11,11,4,6,64,16,4,512,4690,2853,,OOM_rank3
11,11,4,6,64,8,8,512,4790,2799,,OOM_rank3
11,11,4,6,64,4,16,512,1734,1282,,timeout
11,11,4,6,64,2,32,512,1718,1250,,timeout
11,11,5,5,32,16,2,512,4830,3204,96975.078125,ok
11,11,5,5,32,8,4,512,4554,3259,151302.484375,ok
11,11,5,5,32,4,8,512,4598,3146,263805.0,ok
11,11,5,5,32,2,16,512,2072,1504,,timeout
11,11,5,5,64,32,2,512,4854,3528,,OOM_rank1
11,11,5,5,64,16,4,512,4850,3523,,OOM_rank1
11,11,5,5,64,8,8,512,4828,3620,,OOM_rank1
11,11,5,5,64,4,16,512,2120,1554,,timeout
11,11,5,5,64,2,32,512,2104,1521,,timeout
11,11,6,4,32,16,2,512,4854,3466,96799.65625,ok
11,11,6,4,32,8,4,512,4838,3489,151081.3125,ok
11,11,6,4,32,4,8,512,4764,3587,263494.40625,ok
11,11,6,4,32,2,16,512,2458,1765,,timeout
11,11,6,4,64,32,2,512,4864,3501,,OOM_rank2
11,11,6,4,64,16,4,512,4856,3666,,OOM_rank2
11,11,6,4,64,8,8,512,4856,3823,,OOM_rank2
11,11,6,4,64,4,16,512,2506,1769,,timeout
