20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
15,9,5,3,16,2,8,512,7662,4495,2540,1882,6726,4017,2285,1685,235341.046875,ok
15,9,5,3,8,4,2,512,7222,4241,2392,1740,5587,3464,2019,1515,61190.734375,ok
15,9,5,3,8,2,4,512,7242,4241,2396,1882,6142,3728,2137,1594,118237.171875,ok
16,7,5,4,64,32,2,512,18598,9041,4528,4506,8784,4288,2725,2510,77463.2734375,ok
16,7,5,4,64,16,4,512,12216,5383,3830,3348,8117,3707,2667,2412,135216.1875,ok
16,7,5,4,64,8,8,512,10106,4447,3188,2848,8290,3712,2665,2420,251089.9375,ok
16,7,5,4,64,4,16,512,10354,4529,3252,2896,8683,3856,2768,2501,485027.78125,ok
16,7,5,4,64,2,32,512,10826,4765,3404,3016,9024,3988,2849,2572,948795.25,ok
16,7,5,4,32,16,2,512,9728,4279,3028,2706,6609,3113,2250,2076,68381.9296875,ok
16,7,5,4,32,8,4,512,8698,3803,2728,2476,7029,3207,2310,2122,126056.15625,ok
16,7,5,4,32,4,8,512,8818,3857,2752,2492,7531,3371,2416,2217,242580.59375,ok
16,7,5,4,32,2,16,512,9032,3945,2828,2550,7882,3495,2500,2283,473905.625,ok
16,7,5,4,16,8,2,512,7994,3501,2494,2302,6074,2865,2074,1931,63648.98046875,ok
16,7,5,4,16,4,4,512,8050,3521,2512,2302,6677,3064,2199,2033,123058.2890625,ok
16,7,5,4,16,2,8,512,8138,3565,2540,2318,7145,3199,2292,2112,238774.515625,ok
16,7,5,4,8,4,2,512,7666,3353,2392,2204,5931,2797,2028,1883,61984.265625,ok
16,7,5,4,8,2,4,512,7688,3345,2396,2558,6502,2971,2139,1984,120460.328125,ok
16,8,4,4,64,32,2,512,18598,9215,4618,4524,8703,4517,2356,2510,75547.3359375,ok
16,8,4,4,64,16,4,512,12216,6105,3108,3348,8114,4180,2181,2416,132345.234375,ok
16,8,4,4,64,8,8,512,10106,5029,2592,2848,8278,4190,2175,2418,245978.90625,ok
16,8,4,4,64,4,16,512,10354,5141,2640,2896,8661,4354,2247,2496,472923.34375,ok
16,8,4,4,64,2,32,512,10824,5389,2760,3016,9016,4515,2318,2570,928769.5625,ok
16,8,4,4,32,16,2,512,9728,4841,2448,2706,6576,3483,1846,2067,66708.2421875,ok
16,8,4,4,32,8,4,512,8698,4311,2220,2476,7042,3620,1893,2122,123874.0546875,ok
16,8,4,4,32,4,8,512,8818,4373,2236,2492,7492,3795,1965,2208,237108.484375,ok
16,8,4,4,32,2,16,512,9034,4477,2296,2550,7882,3955,2034,2282,465124.3125,ok
16,8,4,4,16,8,2,512,7994,3965,2044,2300,6070,3222,1708,1926,62475.10546875,ok
16,8,4,4,16,4,4,512,8050,3989,2044,2300,6678,3446,1794,2030,120621.1484375,ok
16,8,4,4,16,2,8,512,8136,4019,2064,2558,7123,3607,1866,2109,233502.90625,ok
16,8,4,4,8,4,2,512,7666,3797,1948,2302,5858,3127,1655,1873,60834.62890625,ok
16,8,4,4,8,2,4,512,7688,3793,1946,2204,6477,3353,1745,1978,117833.375,ok
