20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
20,10,5,5,8,4,2,512,18568,9703,4670,4568,11780,6262,3273,3516,101143.9609375,ok
20,10,5,5,8,2,4,512,15332,7599,3846,4162,12167,6301,3259,3561,187886.796875,ok
20,10,5,5,16,8,2,512,19402,9727,4848,4860,13103,6922,3572,3808,115702.109375,ok
20,10,5,5,16,4,4,512,19246,9481,4768,4856,13656,7035,3646,3922,200986.421875,ok
20,10,5,5,16,2,8,512,17892,8887,4486,4810,13990,7102,3627,3941,374614.65625,ok
21,9,5,5,8,4,2,512,19464,9215,4670,4568,12220,5719,3255,3496,99903.359375,ok
21,9,5,5,8,2,4,512,16068,6863,3846,4162,12675,5707,3257,3555,185831.234375,ok
21,9,5,5,16,8,2,512,19812,9821,4824,4858,13403,6484,3558,3791,114493.8125,ok
21,9,5,5,16,4,4,512,19032,9253,4768,4856,14173,6553,3641,3916,198832.0,ok
21,9,5,5,16,2,8,512,18756,8015,4494,4810,14619,6415,3631,3937,370246.4375,ok
21,10,5,4,8,4,2,512,19464,9223,4670,4496,12240,6232,3261,2979,97894.8828125,ok
21,10,5,4,8,2,4,512,16068,7599,3846,3482,12653,6282,3251,2948,182031.96875,ok
21,10,5,4,16,8,2,512,19812,9727,4822,4834,13255,6840,3529,3292,111983.71875,ok
21,10,5,4,16,4,4,512,19956,9513,4768,4692,14140,7009,3634,3330,194543.0,ok
21,10,5,4,16,2,8,512,18756,8887,4494,3946,14601,7091,3628,3255,362566.34375,ok
22,8,5,5,8,4,2,512,18416,8223,4670,4568,12507,5151,3261,3511,98804.4375,ok
22,8,5,5,8,2,4,512,16804,6127,3846,4162,13157,5103,3244,3544,183867.96875,ok
22,8,5,5,16,8,2,512,19810,9765,4822,4858,13876,6085,3539,3776,113449.0625,ok
22,8,5,5,16,4,4,512,19594,9675,4768,4856,14669,6088,3640,3917,196711.984375,ok
22,8,5,5,16,2,8,512,19620,7159,4494,4810,15235,5741,3628,3934,365888.28125,ok
22,9,5,4,8,4,2,512,18490,9215,4670,4496,12436,5701,3246,2963,96618.421875,ok
22,9,5,4,8,2,4,512,16804,6863,3846,3482,13142,5688,3246,2940,179842.265625,ok
22,9,5,4,16,8,2,512,19810,9821,4822,4834,13835,6426,3519,3284,110893.5546875,ok
22,9,5,4,16,4,4,512,19928,9253,4768,4692,14612,6531,3628,3324,192362.96875,ok
22,9,5,4,16,2,8,512,19620,8015,4494,3946,15219,6409,3627,3254,358429.90625,ok
22,10,4,4,8,4,2,512,18416,9223,4182,4496,12380,6183,2662,2959,94749.453125,ok
22,10,4,4,8,2,4,512,16804,7599,3110,3482,13121,6267,2635,2940,176211.359375,ok
22,10,4,4,16,8,2,512,19810,9727,4836,4834,13742,6810,3064,3280,108537.78125,ok
22,10,4,4,16,4,4,512,19594,9481,4844,4692,14558,6979,2991,3320,188124.890625,ok
22,10,4,4,16,2,8,512,19620,8887,3630,3946,15171,7064,2936,3244,350712.84375,ok
22,10,5,3,8,4,2,512,18416,9223,4700,3504,12424,6204,3252,2357,94637.9765625,ok
22,10,5,3,8,2,4,512,16804,7599,3846,2874,13052,6252,3236,2325,175923.828125,ok
22,10,5,3,16,8,2,512,19930,9727,4828,4774,13778,6824,3510,2811,108555.734375,ok
22,10,5,3,16,4,4,512,19594,9481,4768,4596,14538,6980,3615,2701,188285.15625,ok
22,10,5,3,16,2,8,512,19620,8887,4494,3074,15186,7072,3622,2553,350679.03125,ok
