20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
30,13,5,0,8,2,4,512,18470,7473,2952,3080,15296,6661,2709,1572,180506.15625,ok
30,13,5,0,16,8,2,512,18956,7703,3054,4566,14137,6448,2666,1542,95150.875,ok
30,13,5,0,16,4,4,512,19070,7753,3052,3080,15622,6815,2760,1576,183785.03125,ok
30,13,5,0,16,2,8,512,19290,7837,3092,4566,16819,7102,2850,1608,356884.6875,ok
30,14,4,0,8,4,2,512,18350,7973,2380,4566,13771,6741,2130,1529,90297.8984375,ok
30,14,4,0,8,2,4,512,18470,8029,2376,4566,15283,7137,2208,1577,176626.109375,ok
30,14,4,0,16,8,2,512,18956,8275,2482,3080,14044,6847,2170,1532,92562.109375,ok
30,14,4,0,16,4,4,512,19070,8309,2476,3080,15577,7277,2252,1569,179033.34375,ok
30,14,4,0,16,2,8,512,19290,8421,2508,3080,16785,7597,2313,1603,351630.0625,ok
30,15,3,0,8,4,2,512,18350,8525,1828,4566,13785,7187,1645,1538,88514.515625,ok
30,15,3,0,8,2,4,512,18470,8585,1820,4566,15236,7599,1699,1575,173654.734375,ok
30,15,3,0,16,8,2,512,18956,8847,1910,3080,14011,7284,1681,1535,90875.328125,ok
30,15,3,0,16,4,4,512,19070,8885,1920,4566,15543,7751,1735,1576,175908.484375,ok
30,15,3,0,16,2,8,512,19290,9005,1924,4566,16754,8110,1780,1606,345279.1875,ok
