timestamp,label,gpu_mb,target_5gb_mb
06:27:39.533,s24_7_1_b128_mb32,87,12
06:27:40.036,s24_7_1_b128_mb32,87,12
06:27:40.538,s24_7_1_b128_mb32,87,12
06:27:41.039,s24_7_1_b128_mb32,87,12
06:27:41.541,s24_7_1_b128_mb32,87,12
06:27:42.043,s24_7_1_b128_mb32,87,12
06:27:42.545,s24_7_1_b128_mb32,87,12
06:27:43.046,s24_7_1_b128_mb32,87,12
06:27:43.548,s24_7_1_b128_mb32,87,12
06:27:44.050,s24_7_1_b128_mb32,87,12
06:27:44.551,s24_7_1_b128_mb32,87,12
06:27:45.053,s24_7_1_b128_mb32,122,12
06:27:45.555,s24_7_1_b128_mb32,534,94
06:27:46.057,s24_7_1_b128_mb32,534,94
06:27:46.559,s24_7_1_b128_mb32,540,96
06:27:47.061,s24_7_1_b128_mb32,540,96
06:27:47.562,s24_7_1_b128_mb32,1040,96
06:27:48.064,s24_7_1_b128_mb32,2118,310
06:27:48.566,s24_7_1_b128_mb32,2118,496
06:27:49.068,s24_7_1_b128_mb32,2868,996
06:27:49.569,s24_7_1_b128_mb32,3256,1246
06:27:50.071,s24_7_1_b128_mb32,3256,1246
06:27:50.573,s24_7_1_b128_mb32,3546,1246
06:27:51.075,s24_7_1_b128_mb32,3932,1246
06:27:51.577,s24_7_1_b128_mb32,3932,1246
06:27:52.079,s24_7_1_b128_mb32,4318,1246
06:27:52.581,s24_7_1_b128_mb32,4704,1246
06:27:53.083,s24_7_1_b128_mb32,4704,1246
06:27:53.585,s24_7_1_b128_mb32,4590,746
06:27:54.087,s24_7_1_b128_mb32,4976,746
06:27:54.589,s24_7_1_b128_mb32,4976,746
06:27:55.091,s24_7_1_b128_mb32,5362,746
06:27:55.592,s24_7_1_b128_mb32,5812,810
06:27:56.094,s24_7_1_b128_mb32,5812,810
06:27:56.596,s24_7_1_b128_mb32,6198,810
06:27:57.098,s24_7_1_b128_mb32,6606,810
06:27:57.599,s24_7_1_b128_mb32,6606,810
06:27:58.101,s24_7_1_b128_mb32,6992,810
06:27:58.603,s24_7_1_b128_mb32,6992,810
06:27:59.105,s24_7_1_b128_mb32,6992,810
06:27:59.606,s24_7_1_b128_mb32,7378,810
06:28:00.108,s24_7_1_b128_mb32,7378,810
06:28:00.610,s24_7_1_b128_mb32,7678,810
06:28:01.112,s24_7_1_b128_mb32,7764,810
06:28:01.613,s24_7_1_b128_mb32,7764,810
06:28:02.115,s24_7_1_b128_mb32,8150,810
06:28:02.617,s24_7_1_b128_mb32,8150,810
06:28:03.119,s24_7_1_b128_mb32,8150,810
06:28:03.620,s24_7_1_b128_mb32,8600,810
06:28:04.122,s24_7_1_b128_mb32,8600,810
06:28:04.624,s24_7_1_b128_mb32,8600,810
06:28:05.126,s24_7_1_b128_mb32,8986,810
06:28:05.627,s24_7_1_b128_mb32,8986,810
06:28:06.129,s24_7_1_b128_mb32,8986,810
06:28:06.631,s24_7_1_b128_mb32,9372,810
06:28:07.133,s24_7_1_b128_mb32,9372,810
06:28:07.634,s24_7_1_b128_mb32,9372,810
06:28:08.136,s24_7_1_b128_mb32,9758,810
06:28:08.638,s24_7_1_b128_mb32,9758,810
06:28:09.139,s24_7_1_b128_mb32,9972,810
06:28:09.641,s24_7_1_b128_mb32,10144,810
06:28:10.143,s24_7_1_b128_mb32,10144,810
06:28:10.644,s24_7_1_b128_mb32,10530,810
06:28:11.146,s24_7_1_b128_mb32,10530,810
06:28:11.649,s24_7_1_b128_mb32,10530,810
06:28:12.150,s24_7_1_b128_mb32,10916,810
06:28:12.652,s24_7_1_b128_mb32,10916,810
